tweet_id,text,bucket,label,notes
1761317,"@AppleSupport I mean, literally, it’s my activity data from today is not being synced to the new phone 🤔screenshot from current old Phone &amp; pic of new  📱 https://t.co/KrlYPNSIe9",product_issue,product_issue,
652724,"@AppleSupport My phone is free, Are you arranging to pick up or shall I write to Mr. Cook. Dear Countrymen, This iPhone 7 while on charge if touched with",refund_billing,complaint_escalation,
2966584,"@AppleSupport Yes indeed, and this had been working fine until today. 

It’s when I try to authenticate to the iMac, the password (which I know is correct) is rejected, as is the ‘Apple ID’ option.",account_access,account_access,
2945709,"@AppleSupport Ever since I updated phone, my apps freeze and then I have to close the apps and re-open them again. I don’t understand what is going on",general_inquiry,product_issue,
2484235,"@AppleSupport I'm in America, can I send the full address DM?",general_inquiry,general_inquiry,
340198,"@AppleSupport @197246 It’s a few days I have the same problem, how Can I solve??",general_inquiry,product_issue,
2193325,"@AppleSupport Non-functioning BT issue remains, even after resetting SMC/NVRAM (as tweeted in https://t.co/521mJs8AWU)

Console also shows BT related HW errors. Diagnostics (⌥-D on boot) says everything is fine (which it is not).

Will bring device to store for further inspection.",complaint_escalation,product_issue,
2448345,@AppleSupport I have a more important issue tho. U need to set up a way to set a “default” WiFi connection that when available the iPhone connects to regardless of what it’s currently connected to,complaint_escalation,product_issue,
2358624,@AppleSupport When will Apple Pay finally come to Germany?,order_status,general_inquiry,
2558653,@AppleSupport Anytime I try to send a SMS message it wont send. What can I do to fix it?,general_inquiry,product_issue,
2864879,@AppleSupport I have charges on my account that I didn't make,refund_billing,refund_billing,
999905,"@AppleSupport definitely not working for me like that...""device unknown""",product_issue,product_issue,
1376082,@AppleSupport Constant freezing and my battery dies within a couple hours of being off of the charger.,refund_billing,product_issue,
756535,@AppleSupport This doesn't help either... Unable to trace why I'm charged. Please help,refund_billing,refund_billing,
2557418,"@AppleSupport yeah i know, it asks for a user and a passwort, like a remote login or something, but why did it appear all of a sudden?
because i used ssh once? :D",account_access,general_inquiry,
2908041,"@AppleSupport Hi, thanks. Yes, I have received an email confirming the request and that it’s ready for recovery. I follow the steps, enter my security info and enter the code sent via text msg. It then says info on how to recover the account will be texted to me but I don’t receive anything.",general_inquiry,account_access,
1151423,@AppleSupport Trying reset with trusted phone number about 30-40 times changes password done everything being told now lose it its 2:15am doing this for last five hours,account_access,account_access,
1163900,@AppleSupport not especially helpful? google suggests this could be a notification &gt; government alerts &gt; amber alert issue but i don’t have that option!,complaint_escalation,product_issue,
1954105,@AppleSupport It’s  stuck with a message over it and  can’t  do anything https://t.co/mhwoQR0ekl,product_issue,product_issue,
2779309,"@AppleSupport How to solve some. Sorry, but I will not get into that site.",general_inquiry,unclassifiable,
557813,@AppleSupport When will it be available in the UK? 🇬🇧,order_status,general_inquiry,
875113,@AppleSupport Thanks for the link but what happened to “Play in sequential order” do I have to pick each ep one at a time now?,order_status,general_inquiry,
810378,"@AppleSupport iPad Pro 
Does it matter?",general_inquiry,general_inquiry,
87062,"@AppleSupport Thanks for taking attention on this matter. I’m not sure if this is a bug actually, but UI looks strange. I mean when I swipe to Control Center then StatusBar moves down. Why so? It’d be better to stay in it’s new home…",product_issue,product_issue,
211264,@AppleSupport how can i check that? i probably do 😂,general_inquiry,general_inquiry,
484548,"@AppleSupport After visiting Apple care store with great disappointment, I tried again n charge fr 2 hour at home and guess that is fine now n I got my data back as well.
Was this inefficiency of Apple store or they just don't wanted to serve customer.",refund_billing,complaint_escalation,
1679914,"@AppleSupport I️ don’t wanna have to work around the issue, on a $700 phone!!",complaint_escalation,complaint_escalation,
2666198,"@AppleSupport Hi! What I wrote - I don't think this is an IPS panel as it was advertised. View angles are much worse than on the 4s, and there is huge gamma shift, even between what ones sees with his 2 eyes. It's a poor quality screen.",product_issue,product_issue,
2581991,"@AppleSupport Can't retrieve mail on https://t.co/XQhY5199hY, and I'm sent to System Preferences to try to fix it. Every time I input my password I get this error message. https://t.co/X17RGwum5N",account_access,account_access,
2622679,@AppleSupport Also I have to charge the battery thrice a day..seems the battery is dying though the phone is not even 2 yrs old. Look forward to your help. Tks https://t.co/zoctagG1Rl,refund_billing,product_issue,
1803203,@AppleSupport What is DM?,general_inquiry,general_inquiry,
2812575,"@AppleSupport Yup, several times. The phone seems to be turning on and off, it's the screen that's stuck - it will turn dark blue but then not go to the apple logo screen.",product_issue,product_issue,
2746097,"@AppleSupport Yes, it did I changed it and said it was signed in on my iPad press okay to accept that and then said verification failed.",account_access,account_access,
722501,@AppleSupport Battery is draining and I’ve tried all the usual settings. Also very sticky and non-responsive most of the time.,product_issue,product_issue,
770087,"@AppleSupport Makes sense, thank you. How can I reset password for old account at least; no access to that email nor to the Phone # on account",account_access,account_access,
1368839,"@AppleSupport For FaceTime, it has happened bunch of times that i had restart my phone in order to receive visuals",order_status,product_issue,
2241936,"@AppleSupport We'll, nobody ever picks up the phone at this number which I have been asked by your staff, to get a hold of. So, if my order get delayed, for no reason, I will lose money. And I will be mad.. I have a deadline for it.. thks https://t.co/ERanwfLSZn",order_status,complaint_escalation,
4900,@AppleSupport @116860 I have and my battery life has become even worse,product_issue,product_issue,
2298991,"@AppleSupport I am in France, I preorder the iphone x in Boulanger stores !",order_status,order_status,
1711954,@AppleSupport 😭 when I️ type the letter I️ a box comes up what can I do to fix it,general_inquiry,product_issue,
